aax	[1,1,[Molnupiravir,"",1]]
airport	[65,633,[201011_Australian_region_cyclone_season,"",4],[AD_1962,m,3],[Anshan,m,8],[Apple_Pro_Mouse,"",2],[Battle_of_the_Beams,"",2],[Busan,m,14],[Canary_wharf_dlr_station,"",3],["Category:1950_establishments_in_Hawaii",m,1],[Chaos_Computer_Club,"",1],["Chattanooga,_Tennessee",m,6],[Ciampino%E2%80%93G._B._Pastine_International_Airport,m,51],[Clifden,"",5],[Comoro_Islands,"",1],[Djerba%E2%80%93Zarzis_International_Airport,"",22],[Docklands_Light_Railway_rolling_stock,"",1],[Ei%C3%B0ur_Gu%C3%B0johnsen,"",2],[Exclave,m,4],["Forest_Park_(St._Louis,_Missouri)","",1],[George_Bush_Presidential_Library,"",2],["Graham,_Texas","",2],[Haleakala_National_Park,"",1],["Hand,_foot_and_mouth_disease","",1],[Helicopter,m,1],["Hernando,_Mississippi","",1],[Heron_Quays_DLR_station,"",2],[Houmt_El_Souk,"",1],[Ikebukuro_Station,m,2],[KLM,"",40],[Kenja_Communication,"",1],[La_Guajira_Department,"",1],[List_of_IACC_yachts,m,1],[List_of_airlines_of_China,"",89],[List_of_streets_and_roads_in_Hong_Kong,"",10],[List_of_tallest_buildings_and_structures_in_the_world,m,2],[Liverpool_John_Lennon_Airport,"",149],[MSX_(disambiguation),"",1],[Macedonia_naming_dispute,"",14],[Mahan_Air,"",21],["Manhattan,_New_York","",4],[Model_railroading,m,1],[Mombasa_County,m,1],[Nagorno-Karabakh,m,2],[Oakland_International_Airport,"",99],[Odessa,m,4],[PC-8000,"",1],[Philadelphia_Police_Department,"",1],[Port_(computing),"",1],[Powerback,m,3],[Prince_(musician),"",1],[Royal_Thai_Air_Force,m,3],[Rumbai,"",1],[San_Gorgonio_Pass,"",2],[Selangor,"",10],[Selangor,m,8],[Skunk_works,"",1],[Stadium_Australia,"",1],[Swahili_people,m,1],[TN_status,"",1],[TX_Watch_Company,m,1],[Terrorism_Act_2000,"",3],[The_Broadmoor,"",2],[USS_America_(CV-66),m,1],[Ultralight_aviation,"",1],["Vasco_da_Gama,_Goa","",4],[Wayne_Rooney,"",2]]
akalla	[1,1,["Category:Stockholm_County_geography_stubs",m,1]]
alberoni	[2,6,["Sebasti%C3%A3o_Jos%C3%A9_de_Carvalho_e_Melo,_1st_Marquis_of_Pombal",m,1],[The_Mickey_Mouse_Club,"",5]]
albumuth	[1,1,[City_of_Saints_and_Madmen,"",1]]
alexej	[1,1,[Natalia_Goncharova,"",1]]
alfa	[7,12,[Brawn_GP,m,1],[LD50,"",2],[Merrill_Lynch,m,3],[Molnupiravir,"",3],[Parsley_Massacre,"",1],[Selangor,"",1],[Selangor,m,1]]
aliaksandr	[1,1,[First_Vienna_Award,m,1]]
allmovie	[12,19,[Bad_Ronald,m,1],[Borat,"",1],[Carice_van_Houten,"",1],[Gods_and_Monsters_(film),"",1],[Gundala_(film),"",1],[Jungle_Book,"",4],[Knowing_(film),m,2],["One_Sings,_the_Other_Doesn%27t","",1],[Rachel_Weisz,m,3],["Texas_Chainsaw_Massacre:_The_Next_Generation","",1],[The_Lion_King_1%C2%BD,m,2],[The_Secret_of_Eve,m,1]]
allowable	[4,4,[Beliefs_and_practices_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints,"",1],[Fraternities_and_sororities,"",1],[Helicopter,m,1],[Royal_prerogative_in_the_United_Kingdom,m,1]]
altiplano	[4,5,[Africa,"",1],[Andean_civilizations,"",1],[El_Nina,"",1],[Seven_Summits,"",2]]
amata	[1,1,[Multiple-language_version,"",1]]
amatoxin	[1,1,[LD50,"",1]]
ambedkar	[5,6,[Condorcet,"",1],[East_Asian_M%C4%81dhyamaka,"",1],[Economist,"",2],[Georg_Simmel,"",1],[Sikh%C4%AB_Buddha,"",1]]
amberley	[1,1,[Erich_Ludendorff,m,1]]
amex	[1,1,["Manhattan,_New_York","",1]]
amplifying	[1,1,[Global_climate_change,"",1]]
amundsen	[3,4,[Africa,"",2],["Category:1957_deaths","",1],[El_Nina,"",1]]
analyses	[22,30,[1st_Space_Operations_Squadron,"",1],[Africa,"",1],[Cascadia_subduction_zone,"",1],[Deleuze_and_Guattari,"",1],[Forklift,"",1],[Georg_Simmel,"",1],[Georgism,"",1],[Gruiformes,m,1],[Lexical_similarity,"",1],[Magdalenian,"",1],[Militarism,m,1],[National_Energy_Research_Scientific_Computing_Center,"",1],[Nationalism,"",1],[Primates,"",4],[Psychoneuroimmunology,"",2],[Spamming,"",2],[Supply-side_economics,"",1],[TN_status,"",1],[Tardigrade,m,4],[Tritone,"",1],["Vasco_da_Gama,_Goa","",1],[Wikipedia?Wikipedia,"",1]]
andah	[1,1,[Eket_people,"",1]]
andrás	[1,1,[Hungarian_People%27s_Republic,m,1]]
andrélie	[1,2,[Roger_Grenier,m,2]]
anglicizers	[1,1,[Henri_Bourassa,"",1]]
angélique	[1,1,[Booker_T._Washington,"",1]]
annular	[1,1,[AD_1962,m,1]]
anotherpanacea	[1,1,[Arendt,"",1]]
anouk	[2,3,[Carice_van_Houten,"",2],[Drop_bear,"",1]]
anticlimactic	[2,2,[Napalm_Death,m,1],[Punch_line,m,1]]
anuses	[1,1,[Sea_cucumber,m,1]]
arbor	[13,17,[Arendt,"",2],[Boscawen-Un,"",1],[Dmitri_Mendeleev,m,1],[Freethought,"",1],[Google_Ads,m,1],["International_District,_Seattle,_Washington","",1],[Jupiter_(mythology),"",1],[Nuremburg_Trials,"",1],[Odoacer,m,1],[Peak_District,"",1],[Philanthropy,"",2],[Prince_(musician),"",2],[Serbian_Patriarchate_of_Pe%C4%87,m,2]]
archivesedit	[1,2,[University_of_Massachusetts_Dartmouth,m,2]]
argomoso	[1,1,[Bishop_of_Mondo%C3%B1edo,m,1]]
argyll	[2,2,[Site_of_Special_Scientific_Interest,"",1],[Victoria_(plant),"",1]]
aroussa	[1,1,[Houmt_El_Souk,"",1]]
articulation	[9,13,[Africa,"",1],[Arts,m,1],[Irish_English,m,1],[Kashubian_language,m,3],[Lockean_proviso,"",1],[Nationalism,"",1],[Philippine_literature,m,1],[Proto-Germanic,"",3],[Wikipedia?Wikipedia,"",1]]
ascended	[6,6,[Beliefs_and_practices_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints,"",1],[Great_Fire_of_London,"",1],[Hurrem_Sultan,"",1],["Mount_Barker,_South_Australia","",1],[Ottonian_dynasty,m,1],[Seljuks,m,1]]
ashwamedh	[1,1,["Category:Bihar_politician_stubs",m,1]]
asturianu	[69,69,["1331","",1],["795","",1],[Adam_McKay,"",1],[Africa,"",1],[Andean_civilizations,"",1],[Archduchy_of_Austria,"",1],[Asterales,"",1],[Basin_and_Range_Province,"",1],[COC_Nederland,"",1],[Capillary_action,"",1],[Carbonated_water,"",1],["Category:1957_deaths","",1],[Cereal_grain,"",1],[Comoro_Islands,"",1],[Craig_Robinson_(actor),"",1],[Cuneiform,"",1],[Eadweard_Muybridge,"",1],[El_Nina,"",1],[Enthalpy_of_fusion,"",1],[Entropy,"",1],[Faggot_(slang),"",1],[Flag_of_Azerbaijan,"",1],[Forklift,"",1],[Free-electron_laser,"",1],[Freethought,"",1],[Garrigou-Lagrange,"",1],[Global_climate_change,"",1],["Hand,_foot_and_mouth_disease","",1],[International_Women's_Day,"",1],[Jupiter_(mythology),"",1],[Justin_Bieber,"",1],[KLM,"",1],[Koala,"",1],[La_Guajira_Department,"",1],[Labrador_Peninsula,"",1],[Lexical_similarity,"",1],[Leymah_Gbowee,"",1],[Louis_Daguerre,"",1],[Macedonia_naming_dispute,"",1],[Matti_Nyk%C3%A4nen,"",1],[Money,"",1],[Na'vi_language,"",1],[Nationalism,"",1],[Nuremburg_Trials,"",1],[Oakland_International_Airport,"",1],[Okapi,"",1],[Philanthropy,"",1],[Photometry_%28astronomy%29,"",1],[Primates,"",1],[Prince_(musician),"",1],[Proto-Germanic,"",1],[Railway_signal,"",1],[Rapeseed,"",1],[Seven_Summits,"",1],[Shaoshan,"",1],[Smithsonian_Astrophysical_Observatory,"",1],[Sol_Invictus,"",1],[South_Park,"",1],[Spamming,"",1],[Stadium_Australia,"",1],[Stradivarius,"",1],[Toothbrush_moustache,"",1],[Tuenti,"",1],[Ultralight_aviation,"",1],[Vedic_period,"",1],[Video_disk,"",1],[Wayne_Rooney,"",1],[Web_Hosting,"",1],[Wikipedia?Wikipedia,"",1]]
auberon	[2,2,[Morgan_le_Fay,m,1],[The_Sandman_(Vertigo),"",1]]
augustini	[2,2,[Arendt,"",1],[Myrtus_communis,"",1]]
authori	[1,2,[South_Park,"",2]]
automotiveedit	[1,1,[Thermostat,m,1]]
avocado	[2,2,[A_Word_A_Day,"",1],[Cereal_grain,"",1]]
awrads	[1,1,[Hafiz_%28Qur%27an%29,"",1]]
axure	[1,1,[NetBeans,"",1]]
ayumi	[2,2,[Fate/Grand_Order,"",1],[Ringo_Sheena,"",1]]
ayşe	[1,2,[Hurrem_Sultan,"",2]]
azadliq	[1,1,[Flag_of_Azerbaijan,"",1]]
azafi	[1,1,[Ahmed_el-Tayeb,"",1]]
azikiwe	[1,1,[Eket_people,"",1]]
aşıklı	[1,1,[Magdalenian,"",1]]
baghouse	[1,2,[Fossil-fuel_power_station,m,2]]
baiṭh	[1,4,[Past_participle,m,4]]
bakker	[2,6,[Caesar_(band),"",5],[Gruiformes,m,1]]
ballincollig	[1,3,[Mid_Cork_Junior_A_Football_Championship,m,3]]
ballparks	[3,7,["Manhattan,_New_York","",3],[Sportsman%27s_Park,m,3],[Yankees_Classics,"",1]]
baluchistan	[1,1,[Terrorism_Act_2000,"",1]]
bandura	[1,1,[Nick_Holonyak,"",1]]
bane	[1,1,[Morgan_le_Fay,m,1]]
banga	[1,1,[Tamago_kake_gohan,"",1]]
banning	[7,18,[Foreign_Agents_Registration_Act,"",1],[Fraternities_and_sororities,"",1],[Hungarian_People%27s_Republic,m,1],[Nationalism,"",1],[San_Gorgonio_Pass,"",11],[Widowed,"",2],[Wikipedia?Wikipedia,"",1]]
barricadas	[2,4,[Freethought,"",2],[Refusal_of_work,"",2]]
bartholomew	[6,7,[Arendt,"",1],[Condorcet,"",1],[Georg_Simmel,"",1],[Leymah_Gbowee,"",1],[Prabhu_Deva,"",1],[Siege_of_Shkodra,m,2]]
baseballedit	[3,3,[Busan,m,1],["Chattanooga,_Tennessee",m,1],[FAU_Soccer_Field,m,1]]
battlefield	[15,22,[American_propaganda_during_World_War_II,"",1],[Bengkulu,m,1],[Ein_Heldenleben,m,1],[Erich_Ludendorff,m,1],[History_of_Champagne,"",1],[Jupiter_(mythology),"",1],[List_of_Virginia_state_parks,"",5],[Macedonia_naming_dispute,"",1],["Manhattan,_New_York","",1],["Maryland,_My_Maryland","",2],[Saint_George,m,2],[Seven_Summits,"",1],[Sly_Stone,"",1],["South_Shore,_Chicago","",1],[Victims_of_Communism_Memorial,"",2]]
beans	[10,13,[Africa,"",1],[Andean_civilizations,"",1],[Busan,m,1],[Cereal_grain,"",1],[Houmt_El_Souk,"",1],["Lego_Harry_Potter:_Years_14","",1],[Monpa_people,"",1],[NetBeans,"",2],[Rapeseed,"",2],[Tamago_kake_gohan,"",2]]
beauvoir	[3,6,[Arendt,"",4],[Condorcet,"",1],[Georg_Simmel,"",1]]
beckwith	[1,5,[Vedic_period,"",5]]
beltran	[1,1,[Tardigrade,m,1]]
bemoans	[1,1,[Lucy_in_the_Sky_with_Diamonds,"",1]]
bercovitch	[1,3,[Koala,"",3]]
bettelheim	[1,1,[Marie_von_Ebner-Eschenbach,"",1]]
bettoun	[1,2,[Roger_Hanin,m,2]]
bewegung	[1,2,[Erich_Ludendorff,m,2]]
bewildered	[1,1,[The_Third_Policeman?source=post_page---------------------------,"",1]]
bezalel	[1,1,[Old_New_Synagogue,"",1]]
bhagavad	[2,3,[Pushtimarg,"",2],[Vedic_period,"",1]]
bhan	[2,3,[Prabhu_Deva,"",1],[Vedic_period,"",2]]
biased	[5,11,[Filter_bubble,"",3],[Informational_cascade,"",1],[Optimism_bias,"",5],[Punch_line,m,1],[Wikipedia?Wikipedia,"",1]]
biomechanics	[5,10,[Chiropractic_education,"",4],[Eadweard_Muybridge,"",1],[Oscar_Pistorius,m,2],[Sea_cucumber,m,1],[Systems_biology,"",2]]
bird's	[7,7,[Africa,"",1],["Aradia,_or_the_Gospel_of_the_Witches","",1],[Bryna_Productions,m,1],[Chemical_reactions,m,1],[Converse_(shoe_company),"",1],[FAU_Soccer_Field,m,1],[Rapeseed,"",1]]
birthday	[54,86,[A.E._Housman,"",2],[All_In_(professional_wrestling_event),"",1],[Arendt,"",2],[Big_Bad_Wolf,m,1],[Bikini,"",2],[Booker_T._Washington,"",2],[Buckingham_Palace,m,1],[Chaos_Computer_Club,"",1],[Chatmonchy,"",1],[Cory_Doctorow,m,1],[Derroll_Adams,"",1],[East_Asian_M%C4%81dhyamaka,"",1],[Entropy,"",1],[Erich_Ludendorff,m,4],[Fate/Grand_Order,"",1],[Freethought,"",1],[Georgism,"",1],[Global_climate_change,"",1],[Gundala_(film),"",1],[Help!_(album),"",1],[Henri_Bourassa,"",1],[International_Women's_Day,"",2],[Joseph_Stalin,"",6],[Justin_Bieber,"",3],[Kabir_Bedi,"",2],[Krista_and_Tatiana_Hogan,"",1],[Leymah_Gbowee,"",2],[List_of_works_by_Danielle_Steel,m,2],[Louiguy,m,1],[Marie_von_Ebner-Eschenbach,"",1],[Masque,"",1],[Mike_Eruzione,"",1],[Natalia_Goncharova,"",2],[Natural_experiment,"",1],[NetBeans,"",1],[Odessa,m,1],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,5],[Philadelphia_Police_Department,"",1],[Prabhu_Deva,"",4],[Prince_(musician),"",1],[R._Stevie_Moore,"",2],[Russia_in_the_European_energy_sector,"",1],[Sikh%C4%AB_Buddha,"",1],[Spamming,"",1],[Stadium_Australia,"",1],[Stan_Tracey,m,1],[The_Hatter,"",2],[The_Mickey_Mouse_Club,"",4],[Tuvok,"",1],[Wayne_Rooney,"",1],[Widowed,"",1],["Wikipedia:Meetup/NYC/Wikipedia_Day_2012","",1],[Wikipedia?Wikipedia,"",1],[Yankees_Classics,"",2]]
bisected	[1,2,["Chattanooga,_Tennessee",m,2]]
bituminized	[1,1,[Saint_George,m,1]]
bleacher	[3,5,[2017_NFL_season,"",2],[Wayne_Rooney,"",2],[Yankees_Classics,"",1]]
blek	[1,1,[Futura_2000,"",1]]
bletchley	[2,2,[Battle_of_the_Beams,"",1],[Saint_George,m,1]]
blindō	[1,2,[Proto-Germanic,"",2]]
bmaa	[1,3,[Ultralight_aviation,"",3]]
bobrow	[1,1,[Clojure,"",1]]
boerno	[1,1,[Gruiformes,m,1]]
bootsy	[1,4,[Sly_Stone,"",4]]
boshin	[1,1,[Satsuma_Rebellion,m,1]]
boulat	[1,3,[Visa_pour_l%27Image,"",3]]
bovee	[1,1,[24th_United_States_Congress,m,1]]
brazil	[78,187,[1971_CONMEBOL_Pre-Olympic_Tournament,m,11],[2%2B2_road,"",1],[2007_FIFA_Women%27s_World_Cup_Group_D,m,14],[2015_World_Mixed_Doubles_Curling_Championship,m,11],[2017_NFL_season,"",1],[AD_1962,m,2],[Aut%C3%B3dromo_Internacional_de_Curitiba,"",3],[Bikini,"",4],[Booker_T._Washington,"",2],[Building_engineering,m,1],[Busan,m,1],["Category:1929_in_South_America",m,2],["Category:2000s_establishments_in_Brazil",m,16],[Cedrela,"",1],[Cereal_grain,"",2],[Chiropractic_education,"",1],[Criminal_code,"",1],[DataCash,"",1],[Deleuze_and_Guattari,"",1],[EMS_Prize,m,1],[East_Asian_M%C4%81dhyamaka,"",1],[Economist,"",4],[El_Nina,"",2],[Erg_(landform),"",1],[Exclave,m,1],[Foot_whipping,"",2],[Formula_Ford,m,1],[Freethought,"",1],[Global_climate_change,"",2],[Greg_(cartoonist),m,3],[Gringo,"",10],[Gurup%C3%AD_River,m,4],[H%C3%A9ctor_Scarone,m,3],[History_of_Champagne,"",1],[Hungarian_People%27s_Republic,m,1],[International_Women's_Day,"",2],[Irredentism,m,1],[Jazz_standard,m,1],[Joseph_I_of_Portugal,m,5],[Justin_Bieber,"",1],[Kashubian_language,m,1],[List_of_Bundesliga_broadcasters,m,1],[List_of_tallest_buildings_and_structures_in_the_world,m,2],[Macedonia_naming_dispute,"",1],["Manhattan,_New_York","",1],[Mardi_Gras_Indians,"",1],[Memorial_Hall_(Philadelphia),"",1],[Ministry_of_Cities,m,2],[Molnupiravir,"",3],[Money,"",1],[Movimento_das_For%C3%A7as_Armadas,m,3],[Nationalism,"",1],[Nuremburg_Trials,"",1],[Olivetan,"",1],[Oscar_Pistorius,m,1],[Partus_sequitur_ventrem,"",2],[Pirate_Party_of_Serbia,"",2],[Refusal_of_work,"",2],["S%C3%A3o_Domingos,_Cape_Verde_(municipality)",m,1],[Saint_George,m,1],["Sebasti%C3%A3o_Jos%C3%A9_de_Carvalho_e_Melo,_1st_Marquis_of_Pombal",m,8],[She%27s_So_Unusual,m,2],[Sikh%C4%AB_Buddha,"",1],[Silvaner,"",1],[Spamming,"",1],[Swahili_people,m,1],[Taito_Corporation,"",1],[Terrorism_Act_2000,"",1],[Texas_Congress,"",1],[The_Baseball_Bunch,"",1],[Thunderstorm,m,1],[USS_America_(CV-66),m,2],[Ultralight_aviation,"",1],[University_of_Massachusetts_Dartmouth,m,3],[Wayne_Rooney,"",5],[Wheelchair_fencing_at_the_Summer_Paralympics,m,2],[World_Men%27s_Handball_Championship,m,1],[Yankees_Classics,"",1]]
brewood	[1,2,[Augustus_Pugin,m,2]]
broadbent	[1,1,[Stadium_Australia,"",1]]
bromine	[1,1,[Chemical_reactions,m,1]]
bt	[16,27,["Category:1957_deaths","",1],["Category:American_male_singers","",1],["Category:Computer_science_organizations","",1],["Category:Start-Class_medicine_articles",m,1],[Converse_(shoe_company),"",3],["James_Blackwood,_2nd_Baron_Dufferin_and_Claneboye",m,3],[Judicial_Appointments_Board_for_Scotland,m,1],[Leymah_Gbowee,"",1],[Michael_Ward_(Irish_politician),"",2],["Orders,_decorations,_and_medals_of_the_United_Kingdom",m,1],[Oscar_Pistorius,m,4],[Proto-Germanic,"",1],[Royal_Thai_Air_Force,m,4],[The_Baseball_Bunch,"",1],[Wayne_Rooney,"",1],[Yankees_Classics,"",1]]
bucovina	[1,1,[Armenian_monastery_of_Suceava,m,1]]
bugis	[3,19,[Selangor,"",9],[Selangor,m,9],[Tamago_kake_gohan,"",1]]
buk	[1,3,[Busan,m,3]]
bulwark	[3,3,[Insurrection,m,1],[Joseph_Stalin,"",1],[Knox-class_frigate,m,1]]
burrito	[1,1,[Sedum_morganianum,"",1]]
